epoch,loss,scale16_output_loss,scale16_output_mse,scale16_output_psnr_metric,scale16_output_ssim_metric,scale32_output_loss,scale32_output_mse,scale32_output_psnr_metric,scale32_output_ssim_metric,val_loss,val_scale16_output_loss,val_scale16_output_mse,val_scale16_output_psnr_metric,val_scale16_output_ssim_metric,val_scale32_output_loss,val_scale32_output_mse,val_scale32_output_psnr_metric,val_scale32_output_ssim_metric
37,0.0027950392772133153,0.0009352648,0.0009352649,31.476261,0.9760744,0.001859774,0.0018597753,28.716566,0.9162306,0.0028375620022416115,0.0009407158941030502,0.0009407155448570848,32.06293869018555,0.9752697944641113,0.0019424171186983585,0.0019424171186983585,28.821516036987305,0.9123101830482483
38,0.002779302638955414,0.0009323675,0.00093236746,31.534973,0.97612363,0.001846934,0.0018469355,28.801416,0.9165933,0.0038508051075041294,0.0011906137224286795,0.0011906134895980358,30.939626693725586,0.9728890657424927,0.0024394583888351917,0.0024394583888351917,27.969257354736328,0.9055774807929993
39,0.0027741613890975713,0.00092780055,0.0009278004,31.517176,0.9763481,0.001846361,0.0018463614,28.76852,0.91700625,0.0032859633211046457,0.001191985560581088,0.0011919854441657662,30.91297721862793,0.9741072058677673,0.002225826494395733,0.0022258262615650892,28.316051483154297,0.9077306389808655
40,0.0027847033366560935,0.0009348922,0.00093489204,31.500523,0.97624356,0.0018498105,0.0018498112,28.771458,0.916716,0.0031201308593153954,0.0010035131126642227,0.0010035129962489009,31.878503799438477,0.973475992679596,0.0021031310316175222,0.002103131264448166,28.610387802124023,0.907795250415802
41,0.002712389205892881,0.0009034122,0.0009034122,31.630484,0.9768954,0.0018089771,0.0018089765,28.880695,0.91828376,0.0027531685773283243,0.0009602591744624078,0.0009602588834241033,30.90308952331543,0.9765079617500305,0.0019858956802636385,0.001985895447432995,28.04450035095215,0.9169216752052307
42,0.0027354338431420425,0.00091165863,0.00091165863,31.59178,0.9770414,0.0018237759,0.0018237759,28.836245,0.91848326,0.0030892333015799522,0.0010038368636742234,0.0010038367472589016,31.53569984436035,0.9725160598754883,0.0020628804340958595,0.002062880666926503,28.443038940429688,0.9101601243019104
43,0.0026702223299071193,0.00088557444,0.0008855741,31.704496,0.97742736,0.0017846475,0.0017846483,28.950138,0.91958404,0.003350041573867202,0.001033230684697628,0.0010332310339435935,32.062286376953125,0.9713084101676941,0.0023500295355916023,0.002350029768422246,27.99773597717285,0.9054123163223267
44,0.002643823925560961,0.0008751112,0.0008751112,31.802172,0.9775701,0.0017687134,0.001768713,29.017462,0.9199031,0.0034129293635487556,0.0011296935845166445,0.0011296935845166445,30.817459106445312,0.975235641002655,0.0021787609439343214,0.0021787616424262524,28.056669235229492,0.9111575484275818
45,0.0028040299269681177,0.00095086894,0.000950869,31.468872,0.97609234,0.0018531609,0.0018531618,28.812975,0.91697997,0.002855452010408044,0.0008264281786978245,0.0008264282369054854,32.227569580078125,0.9767441749572754,0.0018405452137812972,0.001840545330196619,28.76280975341797,0.9169740080833435
46,0.0026523801133347055,0.0008858671,0.00088586746,31.72919,0.9772599,0.0017665138,0.0017665135,29.025145,0.9197933,0.0029361448250710964,0.0007910163258202374,0.0007910163840278983,32.513309478759766,0.9774021506309509,0.001797545119188726,0.0017975452356040478,29.093936920166016,0.9150863885879517
