,ssim
103,0.7266135930505776
104,0.5705401201728518
105,0.7409491494425083
106,0.46065190770408254
107,0.4860340295859276
108,0.8962886974876056
109,0.8475776074828514
110,0.6166981002090836
111,0.557251101370206
112,0.6896620047683603
113,0.7690710379442814
114,0.4751981218932386
115,0.8463452949838874
116,0.9161471150340552
117,0.8034197621666294
118,0.9191142690022662
119,0.5123332306705836
120,0.714796479256802
121,0.7521015762136042
122,0.9387492900056088
123,0.7559453323838407
124,0.61758277293553
125,0.5972664800562089
126,0.7685524716291803
127,0.8372298120681579
128,0.9074786985774433
129,0.7888002815705623
130,0.733302013156557
131,0.74713063750167
132,0.7820839963082652
133,0.8473136743572324
134,0.635143683338291
135,0.5933441235376314
136,0.6629602150748651
137,0.7303601036786521
138,0.8436130352476043
139,0.8366000927518922
140,0.5227707160204553
141,0.6137371792553711
142,0.8654784097029721
143,0.6233918397293272
144,0.607645778217179
145,0.7240472381640952
146,0.5420942292670325
147,0.6235893307626287
148,0.4882266897622623
149,0.5128421762733181
150,0.5408735505077653
151,0.43615266416433734
152,0.3512166098604181
153,0.7146258639645389
154,0.5882211674160539
155,0.6626873357696396
156,0.6352040541813501
157,0.7339375443204128
158,0.6132811839303737
159,0.6763481923324997
160,0.3885459366215383
161,0.5309811843487835
162,0.5462631468139466
163,0.6422847831830657
164,0.7367634113691807
165,0.6209754194361001
166,0.7089165357414945
167,0.7396367469957421
168,0.41819271046659007
169,0.6258228732361427
170,0.6359481318509806
171,0.6435530961586605
172,0.450527147065398
173,0.6208779294499595
174,0.499835583488175
175,0.5997487941641119
176,0.5091926697121144
177,0.4402488484815243
178,0.5967201108572564
179,0.5608148298315534
180,0.6881698583396917
181,0.5289008210937581
182,0.43143372854151485
183,0.4098186808431879
184,0.6651919510523469
185,0.5357251026597899
186,0.8205601223784278
187,0.7611422560259798
188,0.5532000848769713
189,0.497414246043127
190,0.6040118456797344
191,0.5054179656928423
192,0.7168392052036663
193,0.7331604909301913
194,0.5782332991596729
195,0.6183680441972624
196,0.6700473174480782
197,0.6838995404948441
198,0.5670374684732374
199,0.4985983397862519
200,0.728036166259275
201,0.9565850967737655
202,0.702528107828749
203,0.6528145592318501
204,0.6277690355592164
205,0.7013659024820823
206,0.7204712820525168
207,0.9265826819624228
208,0.6320607173963378
209,0.7702649238935875
210,0.8509000901395343
211,0.8858448338023882
212,0.8221537996226908
213,0.8434919024672519
214,0.761190032647847
215,0.9460916146724663
216,0.8328081725080199
217,0.8332225291352389
218,0.6986659116484669
219,0.7650601528723507
220,0.9638694801389726
221,0.6455803189747193
222,0.6671942754630994
223,0.7933616973822034
224,0.8822936757342984
225,0.9737555442180992
226,0.7320179649894087
227,0.6198683077396008
228,0.47341903866777857
229,0.5343171293972854
230,0.5958518472698482
231,0.8313119747711122
232,0.5540197359140319
233,0.46370560581911585
234,0.6776027862165012
235,0.7562648320035196
236,0.7406844024922904
237,0.5730363628906244
238,0.7768445536910157
239,0.8891433291297796
240,0.675884709753611
241,0.634312379663859
242,0.7744051295730928
243,0.613833197719411
244,0.6451619713281928
245,0.7668277068797882
246,0.5253989159604129
247,0.9279501912204485
248,0.8843830853792826
249,0.6958907195888976
250,0.898286798269215
251,0.5905294350108181
252,0.7223277831606097
253,0.744905465213173
254,0.5991614719910602
255,0.8515556984690251
256,0.41858484346991176
257,0.5504409449000018
258,0.7974082146493787
259,0.835302610187204
260,0.6865649869711783
261,0.8059130925802371
262,0.8036054623503053
263,0.7927415226236092
264,0.8055186945169314
265,0.7486804256225233
266,0.7500255055341695
267,0.6214881805597132
268,0.9021059224721507
269,0.9509199409882553
