epoch,loss,scale16_output_loss,scale16_output_mse,scale16_output_psnr_metric,scale16_output_ssim_metric,scale32_output_loss,scale32_output_mse,scale32_output_psnr_metric,scale32_output_ssim_metric,val_loss,val_scale16_output_loss,val_scale16_output_mse,val_scale16_output_psnr_metric,val_scale16_output_ssim_metric,val_scale32_output_loss,val_scale32_output_mse,val_scale32_output_psnr_metric,val_scale32_output_ssim_metric
39,0.00288365219719708,0.0009988277,0.0009988277,31.21538,0.97532386,0.0018848234,0.0018848242,28.655464,0.91592485,0.002434174297377467,0.0009097949368879199,0.0009097951115109026,31.94755744934082,0.9729889631271362,0.001820941106416285,0.0018209407571703196,29.037986755371094,0.9139981865882874
40,0.0028117894404567777,0.0009675155,0.00096751546,31.376972,0.9758924,0.0018442742,0.0018442743,28.793795,0.9169921,0.0030563799664378166,0.0009733771439641714,0.0009733769111335278,31.509889602661133,0.9755204319953918,0.001956027466803789,0.0019560279324650764,28.492237091064453,0.9108537435531616
41,0.00288547750407209,0.0010030997,0.0010030996,31.252312,0.97485393,0.0018823782,0.001882377,28.712584,0.9155175,0.003317514667287469,0.001086541684344411,0.001086541567929089,30.876190185546875,0.9699307680130005,0.002339676721021533,0.0023396769538521767,27.422107696533203,0.9069708585739136
42,0.0028199797767835357,0.00096830033,0.00096830056,31.38442,0.9755919,0.0018516801,0.001851679,28.800663,0.9164178,0.0031161499209702015,0.0009654196910560131,0.0009654195164330304,31.747142791748047,0.9753974080085754,0.0019239250104874372,0.0019239248940721154,28.79435920715332,0.9134657382965088
43,0.0028128153970465065,0.00096650235,0.0009665021,31.391058,0.976153,0.0018463129,0.0018463131,28.804277,0.9173154,0.0028719983529299498,0.0008534739608876407,0.0008534739026799798,32.27399444580078,0.976654052734375,0.0017498942324891686,0.0017498938832432032,29.39180564880371,0.9178981184959412
44,0.0027352102496661247,0.0009352181,0.0009352181,31.539663,0.97645944,0.0017999925,0.0017999929,28.949059,0.91855913,0.0024440239649266005,0.0008793172310106456,0.0008793172892183065,31.904592514038086,0.9767327308654785,0.0017661683959886432,0.0017661683959886432,29.14563751220703,0.9174422025680542
45,0.0028015208019254107,0.0009647583,0.00096475804,31.407066,0.97588646,0.001836763,0.0018367629,28.845917,0.9176758,0.0033903727307915688,0.0017893698532134295,0.001789370086044073,30.54998779296875,0.9580852389335632,0.0019364479230716825,0.0019364480394870043,28.88835906982422,0.9080067276954651
46,0.0027597737102769315,0.00095045904,0.0009504591,31.435966,0.97618073,0.001809315,0.0018093141,28.903048,0.91843075,0.0023867099080234766,0.0008617849089205265,0.0008617849089205265,31.584217071533203,0.977246105670929,0.0018349695019423962,0.0018349699676036835,28.505977630615234,0.9189139604568481
47,0.002775768858070175,0.0009571411,0.00095714105,31.45625,0.97606665,0.0018186269,0.0018186278,28.906809,0.918131,0.002458147704601288,0.0008579848799854517,0.0008579848799854517,32.054019927978516,0.976718544960022,0.0017791897989809513,0.0017791902646422386,29.034706115722656,0.9184789061546326
48,0.00269172794263189,0.00092258386,0.00092258316,31.593573,0.9768552,0.0017691435,0.0017691449,29.047256,0.9198129,0.006880361586809158,0.0027071316726505756,0.0027071312069892883,29.73129653930664,0.8951276540756226,0.004198484122753143,0.004198484122753143,27.078828811645508,0.8072022199630737
